Current (A),Voltage (V)
-0.001,-19.99978
-0.0009487179487179488,-19.99976
-0.0008974358974358974,-19.99979
-0.0008461538461538462,-19.9998
-0.0007948717948717948,-19.99982
-0.0007435897435897436,-19.99985
-0.0006923076923076924,-19.99983
-0.000641025641025641,-19.99984
-0.0005897435897435897,-19.99986
-0.0005384615384615384,-19.99985
-0.0004871794871794872,-19.99986
-0.00043589743589743585,-19.99986
-0.0003846153846153846,-19.99987
-0.00033333333333333327,-19.99988
-0.00028205128205128203,-19.9999
-0.00023076923076923068,-19.9999
-0.00017948717948717944,-19.18072
-0.0001282051282051282,-14.71571
-7.692307692307686e-05,-8.364552
-2.564102564102562e-05,-2.478759
2.564102564102562e-05,1.255092
7.692307692307707e-05,2.339569
0.0001282051282051283,3.298966
0.00017948717948717955,4.303246
0.0002307692307692308,5.479024
0.00028205128205128203,6.828429
0.0003333333333333335,8.21283
0.0003846153846153847,9.582273
0.00043589743589743596,11.07701
0.0004871794871794872,12.71334
0.0005384615384615387,13.95498
0.0005897435897435899,15.2583
0.0006410256410256411,16.46913
0.0006923076923076924,17.76595
0.0007435897435897436,19.04546
0.0007948717948717951,19.94961
0.0008461538461538463,19.99934
0.0008974358974358975,19.99933
0.0009487179487179488,19.99934
0.001,19.99932
